,start_timestamp,end_timestamp,marketprice,unit
0,2023-09-30 20:00:00,2023-09-30 21:00:00,107.4,Eur/MWh
1,2023-09-30 21:00:00,2023-09-30 22:00:00,101.04,Eur/MWh
2,2023-09-30 22:00:00,2023-09-30 23:00:00,102.73,Eur/MWh
3,2023-09-30 23:00:00,2023-10-01 00:00:00,94.14,Eur/MWh
4,2023-10-01 00:00:00,2023-10-01 01:00:00,88.6,Eur/MWh
5,2023-10-01 01:00:00,2023-10-01 02:00:00,84.99,Eur/MWh
6,2023-10-01 02:00:00,2023-10-01 03:00:00,83.22,Eur/MWh
7,2023-10-01 03:00:00,2023-10-01 04:00:00,83.52,Eur/MWh
8,2023-10-01 04:00:00,2023-10-01 05:00:00,83.54,Eur/MWh
9,2023-10-01 05:00:00,2023-10-01 06:00:00,88.08,Eur/MWh
10,2023-10-01 06:00:00,2023-10-01 07:00:00,82.1,Eur/MWh
11,2023-10-01 07:00:00,2023-10-01 08:00:00,62.73,Eur/MWh
12,2023-10-01 08:00:00,2023-10-01 09:00:00,40.0,Eur/MWh
13,2023-10-01 09:00:00,2023-10-01 10:00:00,8.99,Eur/MWh
14,2023-10-01 10:00:00,2023-10-01 11:00:00,0.0,Eur/MWh
15,2023-10-01 11:00:00,2023-10-01 12:00:00,-0.92,Eur/MWh
16,2023-10-01 12:00:00,2023-10-01 13:00:00,-0.62,Eur/MWh
17,2023-10-01 13:00:00,2023-10-01 14:00:00,1.53,Eur/MWh
18,2023-10-01 14:00:00,2023-10-01 15:00:00,62.73,Eur/MWh
19,2023-10-01 15:00:00,2023-10-01 16:00:00,98.82,Eur/MWh
20,2023-10-01 16:00:00,2023-10-01 17:00:00,120.06,Eur/MWh
21,2023-10-01 17:00:00,2023-10-01 18:00:00,130.0,Eur/MWh
22,2023-10-01 18:00:00,2023-10-01 19:00:00,130.0,Eur/MWh
23,2023-10-01 19:00:00,2023-10-01 20:00:00,115.16,Eur/MWh
