start_timestamp,end_timestamp,marketprice,unit
2023-09-01 00:00:00,2023-09-01 01:00:00,93.29,Eur/MWh
2023-09-01 01:00:00,2023-09-01 02:00:00,92.09,Eur/MWh
2023-09-01 02:00:00,2023-09-01 03:00:00,91.8,Eur/MWh
2023-09-01 03:00:00,2023-09-01 04:00:00,95.98,Eur/MWh
2023-09-01 04:00:00,2023-09-01 05:00:00,111.93,Eur/MWh
2023-09-01 05:00:00,2023-09-01 06:00:00,128.13,Eur/MWh
2023-09-01 06:00:00,2023-09-01 07:00:00,127.85,Eur/MWh
2023-09-01 07:00:00,2023-09-01 08:00:00,111.05,Eur/MWh
2023-09-01 08:00:00,2023-09-01 09:00:00,102.0,Eur/MWh
2023-09-01 09:00:00,2023-09-01 10:00:00,96.52,Eur/MWh
2023-09-01 10:00:00,2023-09-01 11:00:00,92.02,Eur/MWh
2023-09-01 11:00:00,2023-09-01 12:00:00,88.9,Eur/MWh
2023-09-01 12:00:00,2023-09-01 13:00:00,88.02,Eur/MWh
2023-09-01 13:00:00,2023-09-01 14:00:00,89.13,Eur/MWh
2023-09-01 14:00:00,2023-09-01 15:00:00,93.84,Eur/MWh
2023-09-01 15:00:00,2023-09-01 16:00:00,103.97,Eur/MWh
2023-09-01 16:00:00,2023-09-01 17:00:00,119.93,Eur/MWh
2023-09-01 17:00:00,2023-09-01 18:00:00,119.95,Eur/MWh
2023-09-01 18:00:00,2023-09-01 19:00:00,127.94,Eur/MWh
2023-09-01 19:00:00,2023-09-01 20:00:00,124.98,Eur/MWh
2023-09-01 20:00:00,2023-09-01 21:00:00,118.56,Eur/MWh
2023-09-01 21:00:00,2023-09-01 22:00:00,114.65,Eur/MWh
2023-09-01 22:00:00,2023-09-01 23:00:00,107.46,Eur/MWh
2023-09-01 23:00:00,2023-09-02 00:00:00,102.7,Eur/MWh
2023-09-02 00:00:00,2023-09-02 01:00:00,100.0,Eur/MWh
2023-09-02 01:00:00,2023-09-02 02:00:00,95.17,Eur/MWh
2023-09-02 02:00:00,2023-09-02 03:00:00,93.83,Eur/MWh
2023-09-02 03:00:00,2023-09-02 04:00:00,97.66,Eur/MWh
2023-09-02 04:00:00,2023-09-02 05:00:00,100.27,Eur/MWh
2023-09-02 05:00:00,2023-09-02 06:00:00,101.09,Eur/MWh
2023-09-02 06:00:00,2023-09-02 07:00:00,100.22,Eur/MWh
2023-09-02 07:00:00,2023-09-02 08:00:00,94.58,Eur/MWh
2023-09-02 08:00:00,2023-09-02 09:00:00,89.77,Eur/MWh
2023-09-02 09:00:00,2023-09-02 10:00:00,79.9,Eur/MWh
2023-09-02 10:00:00,2023-09-02 11:00:00,76.0,Eur/MWh
2023-09-02 11:00:00,2023-09-02 12:00:00,62.99,Eur/MWh
2023-09-02 12:00:00,2023-09-02 13:00:00,55.35,Eur/MWh
2023-09-02 13:00:00,2023-09-02 14:00:00,69.4,Eur/MWh
2023-09-02 14:00:00,2023-09-02 15:00:00,80.01,Eur/MWh
2023-09-02 15:00:00,2023-09-02 16:00:00,93.45,Eur/MWh
2023-09-02 16:00:00,2023-09-02 17:00:00,110.0,Eur/MWh
2023-09-02 17:00:00,2023-09-02 18:00:00,121.68,Eur/MWh
2023-09-02 18:00:00,2023-09-02 19:00:00,126.73,Eur/MWh
2023-09-02 19:00:00,2023-09-02 20:00:00,115.19,Eur/MWh
2023-09-02 20:00:00,2023-09-02 21:00:00,105.64,Eur/MWh
2023-09-02 21:00:00,2023-09-02 22:00:00,97.34,Eur/MWh
2023-09-02 22:00:00,2023-09-02 23:00:00,105.28,Eur/MWh
2023-09-02 23:00:00,2023-09-03 00:00:00,100.95,Eur/MWh
2023-09-03 00:00:00,2023-09-03 01:00:00,99.8,Eur/MWh
2023-09-03 01:00:00,2023-09-03 02:00:00,98.46,Eur/MWh
2023-09-03 02:00:00,2023-09-03 03:00:00,98.39,Eur/MWh
2023-09-03 03:00:00,2023-09-03 04:00:00,96.09,Eur/MWh
2023-09-03 04:00:00,2023-09-03 05:00:00,95.23,Eur/MWh
2023-09-03 05:00:00,2023-09-03 06:00:00,92.02,Eur/MWh
2023-09-03 06:00:00,2023-09-03 07:00:00,87.94,Eur/MWh
2023-09-03 07:00:00,2023-09-03 08:00:00,82.03,Eur/MWh
2023-09-03 08:00:00,2023-09-03 09:00:00,60.3,Eur/MWh
2023-09-03 09:00:00,2023-09-03 10:00:00,43.43,Eur/MWh
2023-09-03 10:00:00,2023-09-03 11:00:00,21.37,Eur/MWh
2023-09-03 11:00:00,2023-09-03 12:00:00,11.33,Eur/MWh
2023-09-03 12:00:00,2023-09-03 13:00:00,4.94,Eur/MWh
2023-09-03 13:00:00,2023-09-03 14:00:00,15.71,Eur/MWh
2023-09-03 14:00:00,2023-09-03 15:00:00,53.66,Eur/MWh
2023-09-03 15:00:00,2023-09-03 16:00:00,92.1,Eur/MWh
2023-09-03 16:00:00,2023-09-03 17:00:00,107.04,Eur/MWh
2023-09-03 17:00:00,2023-09-03 18:00:00,121.9,Eur/MWh
2023-09-03 18:00:00,2023-09-03 19:00:00,132.66,Eur/MWh
2023-09-03 19:00:00,2023-09-03 20:00:00,117.96,Eur/MWh
2023-09-03 20:00:00,2023-09-03 21:00:00,108.87,Eur/MWh
2023-09-03 21:00:00,2023-09-03 22:00:00,100.47,Eur/MWh
2023-09-03 22:00:00,2023-09-03 23:00:00,98.37,Eur/MWh
2023-09-03 23:00:00,2023-09-04 00:00:00,90.75,Eur/MWh
2023-09-04 00:00:00,2023-09-04 01:00:00,90.42,Eur/MWh
2023-09-04 01:00:00,2023-09-04 02:00:00,88.91,Eur/MWh
2023-09-04 02:00:00,2023-09-04 03:00:00,88.98,Eur/MWh
2023-09-04 03:00:00,2023-09-04 04:00:00,100.86,Eur/MWh
2023-09-04 04:00:00,2023-09-04 05:00:00,118.87,Eur/MWh
2023-09-04 05:00:00,2023-09-04 06:00:00,139.25,Eur/MWh
2023-09-04 06:00:00,2023-09-04 07:00:00,128.4,Eur/MWh
2023-09-04 07:00:00,2023-09-04 08:00:00,109.36,Eur/MWh
2023-09-04 08:00:00,2023-09-04 09:00:00,92.88,Eur/MWh
2023-09-04 09:00:00,2023-09-04 10:00:00,82.07,Eur/MWh
2023-09-04 10:00:00,2023-09-04 11:00:00,77.95,Eur/MWh
2023-09-04 11:00:00,2023-09-04 12:00:00,73.43,Eur/MWh
2023-09-04 12:00:00,2023-09-04 13:00:00,72.93,Eur/MWh
2023-09-04 13:00:00,2023-09-04 14:00:00,80.4,Eur/MWh
2023-09-04 14:00:00,2023-09-04 15:00:00,89.5,Eur/MWh
2023-09-04 15:00:00,2023-09-04 16:00:00,107.01,Eur/MWh
2023-09-04 16:00:00,2023-09-04 17:00:00,132.83,Eur/MWh
2023-09-04 17:00:00,2023-09-04 18:00:00,187.72,Eur/MWh
2023-09-04 18:00:00,2023-09-04 19:00:00,145.4,Eur/MWh
2023-09-04 19:00:00,2023-09-04 20:00:00,119.42,Eur/MWh
2023-09-04 20:00:00,2023-09-04 21:00:00,104.98,Eur/MWh
2023-09-04 21:00:00,2023-09-04 22:00:00,95.31,Eur/MWh
2023-09-04 22:00:00,2023-09-04 23:00:00,92.77,Eur/MWh
2023-09-04 23:00:00,2023-09-05 00:00:00,90.01,Eur/MWh
2023-09-05 00:00:00,2023-09-05 01:00:00,90.18,Eur/MWh
2023-09-05 01:00:00,2023-09-05 02:00:00,90.08,Eur/MWh
2023-09-05 02:00:00,2023-09-05 03:00:00,91.2,Eur/MWh
2023-09-05 03:00:00,2023-09-05 04:00:00,95.6,Eur/MWh
2023-09-05 04:00:00,2023-09-05 05:00:00,116.8,Eur/MWh
2023-09-05 05:00:00,2023-09-05 06:00:00,124.66,Eur/MWh
2023-09-05 06:00:00,2023-09-05 07:00:00,116.85,Eur/MWh
2023-09-05 07:00:00,2023-09-05 08:00:00,97.78,Eur/MWh
2023-09-05 08:00:00,2023-09-05 09:00:00,88.0,Eur/MWh
2023-09-05 09:00:00,2023-09-05 10:00:00,81.85,Eur/MWh
2023-09-05 10:00:00,2023-09-05 11:00:00,76.69,Eur/MWh
2023-09-05 11:00:00,2023-09-05 12:00:00,75.1,Eur/MWh
2023-09-05 12:00:00,2023-09-05 13:00:00,77.96,Eur/MWh
2023-09-05 13:00:00,2023-09-05 14:00:00,83.0,Eur/MWh
2023-09-05 14:00:00,2023-09-05 15:00:00,88.51,Eur/MWh
2023-09-05 15:00:00,2023-09-05 16:00:00,103.26,Eur/MWh
2023-09-05 16:00:00,2023-09-05 17:00:00,129.1,Eur/MWh
