start_timestamp,end_timestamp,marketprice,unit
2023-11-28 00:00:00,2023-11-28 01:00:00,77.74,Eur/MWh
2023-11-28 01:00:00,2023-11-28 02:00:00,70.49,Eur/MWh
2023-11-28 02:00:00,2023-11-28 03:00:00,67.47,Eur/MWh
2023-11-28 03:00:00,2023-11-28 04:00:00,64.46,Eur/MWh
2023-11-28 04:00:00,2023-11-28 05:00:00,68.29,Eur/MWh
2023-11-28 05:00:00,2023-11-28 06:00:00,80.76,Eur/MWh
2023-11-28 06:00:00,2023-11-28 07:00:00,99.0,Eur/MWh
2023-11-28 07:00:00,2023-11-28 08:00:00,122.26,Eur/MWh
2023-11-28 08:00:00,2023-11-28 09:00:00,130.5,Eur/MWh
2023-11-28 09:00:00,2023-11-28 10:00:00,139.59,Eur/MWh
2023-11-28 10:00:00,2023-11-28 11:00:00,139.24,Eur/MWh
2023-11-28 11:00:00,2023-11-28 12:00:00,139.2,Eur/MWh
2023-11-28 12:00:00,2023-11-28 13:00:00,136.35,Eur/MWh
2023-11-28 13:00:00,2023-11-28 14:00:00,138.42,Eur/MWh
2023-11-28 14:00:00,2023-11-28 15:00:00,143.96,Eur/MWh
2023-11-28 15:00:00,2023-11-28 16:00:00,150.0,Eur/MWh
2023-11-28 16:00:00,2023-11-28 17:00:00,164.01,Eur/MWh
2023-11-28 17:00:00,2023-11-28 18:00:00,189.98,Eur/MWh
2023-11-28 18:00:00,2023-11-28 19:00:00,177.0,Eur/MWh
2023-11-28 19:00:00,2023-11-28 20:00:00,156.09,Eur/MWh
2023-11-28 20:00:00,2023-11-28 21:00:00,134.91,Eur/MWh
2023-11-28 21:00:00,2023-11-28 22:00:00,122.32,Eur/MWh
2023-11-28 22:00:00,2023-11-28 23:00:00,114.64,Eur/MWh
2023-11-28 23:00:00,2023-11-29 00:00:00,101.84,Eur/MWh
