start_timestamp,end_timestamp,marketprice,unit
2024-01-23 00:00:00,2024-01-23 01:00:00,55.09,Eur/MWh
2024-01-23 01:00:00,2024-01-23 02:00:00,55.0,Eur/MWh
2024-01-23 02:00:00,2024-01-23 03:00:00,59.9,Eur/MWh
2024-01-23 03:00:00,2024-01-23 04:00:00,55.03,Eur/MWh
2024-01-23 04:00:00,2024-01-23 05:00:00,59.9,Eur/MWh
2024-01-23 05:00:00,2024-01-23 06:00:00,72.2,Eur/MWh
2024-01-23 06:00:00,2024-01-23 07:00:00,88.93,Eur/MWh
2024-01-23 07:00:00,2024-01-23 08:00:00,88.92,Eur/MWh
2024-01-23 08:00:00,2024-01-23 09:00:00,90.99,Eur/MWh
2024-01-23 09:00:00,2024-01-23 10:00:00,85.1,Eur/MWh
2024-01-23 10:00:00,2024-01-23 11:00:00,75.96,Eur/MWh
2024-01-23 11:00:00,2024-01-23 12:00:00,65.86,Eur/MWh
2024-01-23 12:00:00,2024-01-23 13:00:00,61.19,Eur/MWh
2024-01-23 13:00:00,2024-01-23 14:00:00,62.1,Eur/MWh
2024-01-23 14:00:00,2024-01-23 15:00:00,73.0,Eur/MWh
2024-01-23 15:00:00,2024-01-23 16:00:00,79.12,Eur/MWh
2024-01-23 16:00:00,2024-01-23 17:00:00,83.52,Eur/MWh
2024-01-23 17:00:00,2024-01-23 18:00:00,85.1,Eur/MWh
2024-01-23 18:00:00,2024-01-23 19:00:00,87.0,Eur/MWh
2024-01-23 19:00:00,2024-01-23 20:00:00,84.38,Eur/MWh
2024-01-23 20:00:00,2024-01-23 21:00:00,80.8,Eur/MWh
2024-01-23 21:00:00,2024-01-23 22:00:00,75.96,Eur/MWh
2024-01-23 22:00:00,2024-01-23 23:00:00,75.29,Eur/MWh
2024-01-23 23:00:00,2024-01-24 00:00:00,54.04,Eur/MWh
