start_timestamp,end_timestamp,awattar_price,smart_meter_consumption,R1,R4,status,mode,awattar_unit,smart_meter_unit
2023-12-19 00:00:00,2023-12-19 01:00:00,64.79,3.239,3.239,64.79,,,Eur/MWh,kWh
2023-12-19 01:00:00,2023-12-19 02:00:00,61.54,0.0,0.0,61.54,,,Eur/MWh,kWh
2023-12-19 02:00:00,2023-12-19 03:00:00,62.44,2.859,2.859,62.44,,,Eur/MWh,kWh
2023-12-19 03:00:00,2023-12-19 04:00:00,60.07,1.796,1.796,60.07,,,Eur/MWh,kWh
2023-12-19 04:00:00,2023-12-19 05:00:00,61.31,1.145,1.145,61.31,,,Eur/MWh,kWh
2023-12-19 05:00:00,2023-12-19 06:00:00,66.39,2.914,2.914,66.39,,,Eur/MWh,kWh
2023-12-19 06:00:00,2023-12-19 07:00:00,89.6,2.9739999999999998,2.9739999999999998,89.6,,,Eur/MWh,kWh
2023-12-19 07:00:00,2023-12-19 08:00:00,98.94,0.0,0.0,98.94,,,Eur/MWh,kWh
2023-12-19 08:00:00,2023-12-19 09:00:00,104.8,0.0,0.0,104.8,,,Eur/MWh,kWh
2023-12-19 09:00:00,2023-12-19 10:00:00,94.88,0.0,0.0,94.88,,,Eur/MWh,kWh
2023-12-19 10:00:00,2023-12-19 11:00:00,86.1,0.0,0.0,86.1,,,Eur/MWh,kWh
2023-12-19 11:00:00,2023-12-19 12:00:00,79.71,0.0,0.0,79.71,,,Eur/MWh,kWh
2023-12-19 12:00:00,2023-12-19 13:00:00,76.5,0.0,0.0,76.5,,,Eur/MWh,kWh
2023-12-19 13:00:00,2023-12-19 14:00:00,79.87,0.0,0.0,79.87,,,Eur/MWh,kWh
2023-12-19 14:00:00,2023-12-19 15:00:00,84.97,0.0,0.0,84.97,,,Eur/MWh,kWh
2023-12-19 15:00:00,2023-12-19 16:00:00,91.31,0.0,0.0,91.31,,,Eur/MWh,kWh
2023-12-19 16:00:00,2023-12-19 17:00:00,95.94,0.0,0.0,95.94,,,Eur/MWh,kWh
2023-12-19 17:00:00,2023-12-19 18:00:00,96.8,0.0,0.0,96.8,,,Eur/MWh,kWh
2023-12-19 18:00:00,2023-12-19 19:00:00,95.91,0.0,0.0,95.91,,,Eur/MWh,kWh
2023-12-19 19:00:00,2023-12-19 20:00:00,94.76,0.0,0.0,94.76,,,Eur/MWh,kWh
2023-12-19 20:00:00,2023-12-19 21:00:00,88.03,0.0,0.0,88.03,,,Eur/MWh,kWh
2023-12-19 21:00:00,2023-12-19 22:00:00,81.9,0.0,0.0,81.9,,,Eur/MWh,kWh
2023-12-19 22:00:00,2023-12-19 23:00:00,78.23,0.0,0.0,78.23,,,Eur/MWh,kWh
2023-12-19 23:00:00,2023-12-20 00:00:00,60.04,6.545,6.545,60.04,,,Eur/MWh,kWh
