meteredValues,peakDemandTimes
0.0,2024-01-06 00:15:00
0.998,2024-01-06 00:30:00
2.637,2024-01-06 00:45:00
0.0,2024-01-06 01:00:00
0.0,2024-01-06 01:15:00
1.872,2024-01-06 01:30:00
1.572,2024-01-06 01:45:00
0.0,2024-01-06 02:00:00
0.0,2024-01-06 02:15:00
1.293,2024-01-06 02:30:00
1.945,2024-01-06 02:45:00
0.0,2024-01-06 03:00:00
0.0,2024-01-06 03:15:00
0.0,2024-01-06 03:30:00
3.298,2024-01-06 03:45:00
0.0,2024-01-06 04:00:00
0.0,2024-01-06 04:15:00
0.0,2024-01-06 04:30:00
1.714,2024-01-06 04:45:00
1.424,2024-01-06 05:00:00
0.0,2024-01-06 05:15:00
0.0,2024-01-06 05:30:00
0.0,2024-01-06 05:45:00
3.153,2024-01-06 06:00:00
0.0,2024-01-06 06:15:00
0.0,2024-01-06 06:30:00
0.0,2024-01-06 06:45:00
0.753,2024-01-06 07:00:00
2.405,2024-01-06 07:15:00
0.0,2024-01-06 07:30:00
0.0,2024-01-06 07:45:00
0.0,2024-01-06 08:00:00
0.0,2024-01-06 08:15:00
0.0,2024-01-06 08:30:00
0.0,2024-01-06 08:45:00
0.0,2024-01-06 09:00:00
0.0,2024-01-06 09:15:00
0.0,2024-01-06 09:30:00
0.0,2024-01-06 09:45:00
0.0,2024-01-06 10:00:00
0.0,2024-01-06 10:15:00
0.0,2024-01-06 10:30:00
0.0,2024-01-06 10:45:00
0.0,2024-01-06 11:00:00
0.0,2024-01-06 11:15:00
0.0,2024-01-06 11:30:00
0.0,2024-01-06 11:45:00
0.0,2024-01-06 12:00:00
0.0,2024-01-06 12:15:00
0.0,2024-01-06 12:30:00
0.0,2024-01-06 12:45:00
0.0,2024-01-06 13:00:00
0.0,2024-01-06 13:15:00
0.0,2024-01-06 13:30:00
0.0,2024-01-06 13:45:00
0.0,2024-01-06 14:00:00
0.0,2024-01-06 14:15:00
0.0,2024-01-06 14:30:00
0.0,2024-01-06 14:45:00
0.0,2024-01-06 15:00:00
0.0,2024-01-06 15:15:00
0.0,2024-01-06 15:30:00
0.0,2024-01-06 15:45:00
0.0,2024-01-06 16:00:00
0.0,2024-01-06 16:15:00
0.0,2024-01-06 16:30:00
0.0,2024-01-06 16:45:00
0.0,2024-01-06 17:00:00
0.0,2024-01-06 17:15:00
0.0,2024-01-06 17:30:00
0.0,2024-01-06 17:45:00
0.0,2024-01-06 18:00:00
0.0,2024-01-06 18:15:00
0.0,2024-01-06 18:30:00
0.0,2024-01-06 18:45:00
0.0,2024-01-06 19:00:00
0.0,2024-01-06 19:15:00
0.0,2024-01-06 19:30:00
0.0,2024-01-06 19:45:00
0.0,2024-01-06 20:00:00
0.0,2024-01-06 20:15:00
0.0,2024-01-06 20:30:00
0.0,2024-01-06 20:45:00
0.0,2024-01-06 21:00:00
2.713,2024-01-06 21:15:00
3.537,2024-01-06 21:30:00
0.0,2024-01-06 21:45:00
0.776,2024-01-06 22:00:00
4.094,2024-01-06 22:15:00
3.195,2024-01-06 22:30:00
0.0,2024-01-06 22:45:00
3.389,2024-01-06 23:00:00
3.64,2024-01-06 23:15:00
0.0,2024-01-06 23:30:00
1.7,2024-01-06 23:45:00
2.665,2024-01-07 00:00:00
