object,data,url
list,"{'start_timestamp': 1690614000000, 'end_timestamp': 1690617600000, 'marketprice': 81.71, 'unit': 'Eur/MWh'}",/at/v1/marketdata
list,"{'start_timestamp': 1690617600000, 'end_timestamp': 1690621200000, 'marketprice': 75.5, 'unit': 'Eur/MWh'}",/at/v1/marketdata
list,"{'start_timestamp': 1690621200000, 'end_timestamp': 1690624800000, 'marketprice': 63.75, 'unit': 'Eur/MWh'}",/at/v1/marketdata
list,"{'start_timestamp': 1690624800000, 'end_timestamp': 1690628400000, 'marketprice': 59.25, 'unit': 'Eur/MWh'}",/at/v1/marketdata
list,"{'start_timestamp': 1690628400000, 'end_timestamp': 1690632000000, 'marketprice': 41.1, 'unit': 'Eur/MWh'}",/at/v1/marketdata
list,"{'start_timestamp': 1690632000000, 'end_timestamp': 1690635600000, 'marketprice': 19.41, 'unit': 'Eur/MWh'}",/at/v1/marketdata
list,"{'start_timestamp': 1690635600000, 'end_timestamp': 1690639200000, 'marketprice': 19.79, 'unit': 'Eur/MWh'}",/at/v1/marketdata
list,"{'start_timestamp': 1690639200000, 'end_timestamp': 1690642800000, 'marketprice': 55.07, 'unit': 'Eur/MWh'}",/at/v1/marketdata
list,"{'start_timestamp': 1690642800000, 'end_timestamp': 1690646400000, 'marketprice': 66.7, 'unit': 'Eur/MWh'}",/at/v1/marketdata
list,"{'start_timestamp': 1690646400000, 'end_timestamp': 1690650000000, 'marketprice': 89.77, 'unit': 'Eur/MWh'}",/at/v1/marketdata
list,"{'start_timestamp': 1690650000000, 'end_timestamp': 1690653600000, 'marketprice': 96.57, 'unit': 'Eur/MWh'}",/at/v1/marketdata
list,"{'start_timestamp': 1690653600000, 'end_timestamp': 1690657200000, 'marketprice': 101.66, 'unit': 'Eur/MWh'}",/at/v1/marketdata
list,"{'start_timestamp': 1690657200000, 'end_timestamp': 1690660800000, 'marketprice': 101.93, 'unit': 'Eur/MWh'}",/at/v1/marketdata
list,"{'start_timestamp': 1690660800000, 'end_timestamp': 1690664400000, 'marketprice': 101.56, 'unit': 'Eur/MWh'}",/at/v1/marketdata
list,"{'start_timestamp': 1690664400000, 'end_timestamp': 1690668000000, 'marketprice': 92.18, 'unit': 'Eur/MWh'}",/at/v1/marketdata
